drafted_player,slot,salary,owner,year,draft_type
Chris Johnson,RB,65,Brian S,2010,initial
Jets D/ST,DST,8,Brian S,2010,initial
Shonn Greene,RB,40,Brian S,2010,initial
Beanie Wells,RB,18,Brian S,2010,initial
Tony Romo,QB,17,Brian S,2010,initial
Joe Flacco,QB,8,Brian S,2010,initial
Steve Smith,WR/TE,8,Brian S,2010,initial
Felix Jones,RB,8,Brian S,2010,initial
Nate kaeding,K,5,Brian S,2010,initial
Jeremy Maclin,WR/TE,5,Brian S,2010,initial
Mike Wallace,WR/TE,4,Brian S,2010,initial
Ahmad Bradshaw,RB,2,Brian S,2010,initial
Devin Aromashodu,WR/TE,1,Brian S,2010,initial
Michael Turner,RB,50,Chris F,2010,initial
Drew Brees,QB,45,Chris F,2010,initial
Reggie Wayne,WR/TE,35,Chris F,2010,initial
Ravens D/ST,DST,4,Chris F,2010,initial
Wes Welker,WR/TE,15,Chris F,2010,initial
Antonio Gates,WR/TE,13,Chris F,2010,initial
Michael Crabtree,WR/TE,10,Chris F,2010,initial
Eli Manning,QB,8,Chris F,2010,initial
Reggie Bush,RB,8,Chris F,2010,initial
Stephen Gostkowski,K,4,Chris F,2010,initial
Cadillac Williams,RB,3,Chris F,2010,initial
Tony Gonzalez,WR/TE,3,Chris F,2010,initial
Clinton Portis,RB,2,Chris F,2010,initial
Adrian Peterson,RB,53,Craig B,2010,initial
Pierre Thomas,RB,22,Craig B,2010,initial
Desean Jackson,WR/TE,21,Craig B,2010,initial
Chad Ochocinco,WR/TE,17,Craig B,2010,initial
Philip Rivers,QB,16,Craig B,2010,initial
Saints D/ST,DST,2,Craig B,2010,initial
Matt Forte,RB,12,Craig B,2010,initial
Anquan Boldin,WR/TE,12,Craig B,2010,initial
Ray Rice,WR/TE,12,Craig B,2010,initial
Percy Harvin,WR/TE,11,Craig B,2010,initial
Carson Palmer,QB,8,Craig B,2010,initial
Jeremy Harrison,RB,3,Craig B,2010,initial
Garrett Hartley,K,2,Craig B,2010,initial
Maurice Jones-Drew,RB,58,Jeff M,2010,initial
Brandon Marshall,WR/TE,35,Jeff M,2010,initial
Larry Fitzgerald,WR/TE,32,Jeff M,2010,initial
Deangelo Williams,RB,30,Jeff M,2010,initial
Cedric Benson,RB,22,Jeff M,2010,initial
Packers D/ST,DST,2,Jeff M,2010,initial
Dwayne Bowe,WR/TE,8,Jeff M,2010,initial
Jay Cutler,QB,5,Jeff M,2010,initial
Donald Driver,WR/TE,2,Jeff M,2010,initial
Robbie Gould,K,1,Jeff M,2010,initial
Ben Roethlisberger,QB,1,Jeff M,2010,initial
Hakeem Nicks,WR/TE,1,Jeff M,2010,initial
Rickey Williams,RB,1,Jeff M,2010,initial
Andre Johnson,WR/TE,57,Mike B,2010,initial
Marques Colston,WR/TE,36,Mike B,2010,initial
Tom Brady,QB,28,Mike B,2010,initial
49ers D/ST,DST,2,Mike B,2010,initial
Matt Schaub,QB,20,Mike B,2010,initial
LeSean McCoy,RB,15,Mike B,2010,initial
knowshon Moreno,RB,14,Mike B,2010,initial
Ronnie Brown,RB,14,Mike B,2010,initial
Jahvid Best,RB,10,Mike B,2010,initial
Mason Crosby,K,1,Mike B,2010,initial
Michael Bush,RB,1,Mike B,2010,initial
Jermichael Finley,WR/TE,1,Mike B,2010,initial
Arian Foster,RB,1,Mike B,2010,initial
Frank Gore,RB,51,Nathan S,2010,initial
Vikings D/ST,DST,1,Nathan S,2010,initial
Calvin Johnson,WR/TE,38,Nathan S,2010,initial
Aaron Rodgers,QB,35,Nathan S,2010,initial
Ryan Mathews,RB,35,Nathan S,2010,initial
Mike Sims-walker,WR/TE,10,Nathan S,2010,initial
Vernon Davis,WR/TE,5,Nathan S,2010,initial
Jason Witten,WR/TE,4,Nathan S,2010,initial
Brandon Jacobs,RB,4,Nathan S,2010,initial
Braylon Edwards,WR/TE,3,Nathan S,2010,initial
Ryan Longwell,K,2,Nathan S,2010,initial
CJ Spiller,RB,2,Nathan S,2010,initial
Matt Ryan,QB,1,Nathan S,2010,initial
Rashard Mendenhall,RB,30,Steve C,2010,initial
Brett Favre,QB,26,Steve C,2010,initial
Steven Jackson,RB,26,Steve C,2010,initial
Rashad Jennings,WR/TE,23,Steve C,2010,initial
Roddy White,WR/TE,22,Steve C,2010,initial
Jonathan Stewart,RB,20,Steve C,2010,initial
Ryan Grant,RB,18,Steve C,2010,initial
Dallas Clark,WR/TE,15,Steve C,2010,initial
Eagles D/ST,DST,5,Steve C,2010,initial
Hines Ward,WR/TE,8,Steve C,2010,initial
David Akers,K,4,Steve C,2010,initial
Marion Barber,RB,2,Steve C,2010,initial
Kevin Kolb,QB,1,Steve C,2010,initial
Ray Rice,RB,58,Steve F,2010,initial
Randy Moss,WR/TE,40,Steve F,2010,initial
Cowboys D/ST,DST,2,Steve F,2010,initial
Peyton Manning,QB,25,Steve F,2010,initial
Jamaal Charles,RB,21,Steve F,2010,initial
Miles Austin,WR/TE,19,Steve F,2010,initial
Steve Smith,WR/TE,12,Steve F,2010,initial
Joseph Addai,RB,11,Steve F,2010,initial
Tim Hightower,RB,3,Steve F,2010,initial
Pierre Garcon,WR/TE,3,Steve F,2010,initial
Rob Bironas,K,1,Steve F,2010,initial
Donovan McNabb,QB,1,Steve F,2010,initial
Justin Forsett,RB,1,Steve F,2010,initial
Ray Rice,RB,48,Brian S,2010,redraft
Donald Driver,WR/TE,33,Brian S,2010,redraft
Mike Williams,WR/TE,28,Brian S,2010,redraft
knowshon Moreno,RB,26,Brian S,2010,redraft
Mike Tolbert,RB,15,Brian S,2010,redraft
Ben Roethlisberger,QB,9,Brian S,2010,redraft
Joe Flacco,QB,8,Brian S,2010,redraft
Bears D/ST,DST,1,Brian S,2010,redraft
Jeremy Maclin,WR/TE,5,Brian S,2010,redraft
Percy Harvin,WR/TE,5,Brian S,2010,redraft
Mike Wallace,WR/TE,4,Brian S,2010,redraft
Deion Branch,WR/TE,4,Brian S,2010,redraft
Folk,K,1,Brian S,2010,redraft
Rashad Jennings,WR/TE,60,Chris F,2010,redraft
Drew Brees,QB,45,Chris F,2010,redraft
Ahmad Bradshaw,RB,42,Chris F,2010,redraft
Jahvid Best,RB,20,Chris F,2010,redraft
Wes Welker,WR/TE,15,Chris F,2010,redraft
Matt Bryant,K,5,Chris F,2010,redraft
Patriots D/ST,DST,1,Chris F,2010,redraft
Eagles D/ST,DST,1,Chris F,2010,redraft
Daniel Thomas,RB,4,Chris F,2010,redraft
Edwards,WR/TE,3,Chris F,2010,redraft
Matt Schaub,QB,2,Chris F,2010,redraft
Tony Gonzalez,WR/TE,1,Chris F,2010,redraft
Michael Crabtree,WR/TE,1,Chris F,2010,redraft
Adrian Peterson,RB,53,Craig B,2010,redraft
Fred Jackson,RB,41,Craig B,2010,redraft
Desean Jackson,WR/TE,21,Craig B,2010,redraft
Brandon Jackson,RB,17,Craig B,2010,redraft
Philip Rivers,QB,16,Craig B,2010,redraft
Felix Jones,RB,10,Craig B,2010,redraft
Santonio Holmes,WR/TE,9,Craig B,2010,redraft
Thomas Jones,RB,9,Craig B,2010,redraft
Santana Moss,WR/TE,6,Craig B,2010,redraft
David Akers,K,2,Craig B,2010,redraft
Titans D/ST,DST,1,Craig B,2010,redraft
Randy Moss,WR/TE,1,Craig B,2010,redraft
Vincent Jackson,WR/TE,1,Craig B,2010,redraft
Maurice Jones-Drew,RB,58,Jeff M,2010,redraft
Michael Turner,RB,56,Jeff M,2010,redraft
Reggie Wayne,WR/TE,41,Jeff M,2010,redraft
kyle Orton,QB,12,Jeff M,2010,redraft
Brandon Lloyd,WR/TE,7,Jeff M,2010,redraft
Josh Freeman,QB,5,Jeff M,2010,redraft
Rice,WR/TE,5,Jeff M,2010,redraft
Steelers D/ST,DST,7,Jeff M,2010,redraft
Malcolm Floyd,WR/TE,3,Jeff M,2010,redraft
Darren McFadden,RB,2,Jeff M,2010,redraft
Hines Ward,WR/TE,2,Jeff M,2010,redraft
Rob Bironas,K,1,Jeff M,2010,redraft
Choice,RB,1,Jeff M,2010,redraft
Steven Jackson,RB,59,Mike B,2010,redraft
Tom Brady,QB,25,Mike B,2010,redraft
Larry Fitzgerald,WR/TE,25,Mike B,2010,redraft
Hakeem Nicks,WR/TE,22,Mike B,2010,redraft
LeSean McCoy,RB,15,Mike B,2010,redraft
Brandon Jacobs,RB,12,Mike B,2010,redraft
Austin Collie,WR/TE,10,Mike B,2010,redraft
Matt Ryan,QB,5,Mike B,2010,redraft
Marshawn Lynch,RB,5,Mike B,2010,redraft
Dwayne Bowe,WR/TE,4,Mike B,2010,redraft
Dan Carpenter,K,3,Mike B,2010,redraft
Packers D/ST,DST,4,Mike B,2010,redraft
Arian Foster,RB,1,Mike B,2010,redraft
Matt Forte,RB,48,Nathan S,2010,redraft
Calvin Johnson,WR/TE,38,Nathan S,2010,redraft
Aaron Rodgers,QB,35,Nathan S,2010,redraft
Cedric Benson,RB,24,Nathan S,2010,redraft
BenJarvus Green-Ellis,RB,13,Nathan S,2010,redraft
Marques Colston,WR/TE,12,Nathan S,2010,redraft
Ronnie Brown,RB,10,Nathan S,2010,redraft
Browns D/ST,DST,1,Nathan S,2010,redraft
Vernon Davis,WR/TE,6,Nathan S,2010,redraft
Sebastian Janikowski,K,5,Nathan S,2010,redraft
Terrell Owens,WR/TE,3,Nathan S,2010,redraft
Peyton Manning,QB,3,Nathan S,2010,redraft
Cadillac Williams,RB,1,Nathan S,2010,redraft
Chris Johnson,RB,61,Steve C,2010,redraft
Chris Ivory,RB,32,Steve C,2010,redraft
Steve Johnson,WR/TE,27,Steve C,2010,redraft
Roddy White,WR/TE,22,Steve C,2010,redraft
Brandon Marshall,WR/TE,16,Steve C,2010,redraft
Jonathan Stewart,RB,13,Steve C,2010,redraft
Antonio Gates,WR/TE,10,Steve C,2010,redraft
Ryan Fitzpatrick,QB,3,Steve C,2010,redraft
Reggie Bush,RB,2,Steve C,2010,redraft
Michael Vick,QB,1,Steve C,2010,redraft
Peyton Hillis,RB,1,Steve C,2010,redraft
Garrett Hartley,K,1,Steve C,2010,redraft
Falcons D/ST,DST,1,Steve C,2010,redraft
Andre Johnson,WR/TE,51,Steve F,2010,redraft
Rashard Mendenhall,RB,50,Steve F,2010,redraft
Anquan Boldin,WR/TE,24,Steve F,2010,redraft
Jamaal Charles,RB,21,Steve F,2010,redraft
Miles Austin,WR/TE,19,Steve F,2010,redraft
Peyton Manning,QB,14,Steve F,2010,redraft
LaDainian Tomlinson,RB,3,Steve F,2010,redraft
LeGarrette Blount,RB,3,Steve F,2010,redraft
Jets D/ST,DST,1,Steve F,2010,redraft
Neil Rackers,K,2,Steve F,2010,redraft
Chad Ochocinco,WR/TE,2,Steve F,2010,redraft
Jacob Tamme,WR/TE,2,Steve F,2010,redraft
Matt Cassel,QB,1,Steve F,2010,redraft
Frank Gore,RB,37,Andrew F,2011,initial
Maurice Jones-Drew,RB,32,Andrew F,2011,initial
Tom Brady,QB,30,Andrew F,2011,initial
Hakeem Nicks,WR/TE,28,Andrew F,2011,initial
Peyton Hillis,RB,26,Andrew F,2011,initial
Eagles D/ST,DST,4,Andrew F,2011,initial
Wes Welker,WR/TE,16,Andrew F,2011,initial
Anquan Boldin,WR/TE,10,Andrew F,2011,initial
Dallas Clark,WR/TE,6,Andrew F,2011,initial
Percy Harvin,WR/TE,4,Andrew F,2011,initial
Neil Rackers,K,4,Andrew F,2011,initial
Eli Manning,QB,2,Andrew F,2011,initial
CJ Spiller,RB,1,Andrew F,2011,initial
Aaron Rodgers,QB,46,Brian S,2011,initial
Michael Vick,QB,44,Brian S,2011,initial
Mike Wallace,WR/TE,21,Brian S,2011,initial
Dez Bryant,WR/TE,14,Brian S,2011,initial
knowshon Moreno,RB,12,Brian S,2011,initial
Ravens D/ST,DST,2,Brian S,2011,initial
kenny Britt,WR/TE,9,Brian S,2011,initial
LeGarrette Blount,RB,7,Brian S,2011,initial
Ryan Grant,RB,2,Brian S,2011,initial
Marshawn Lynch,RB,2,Brian S,2011,initial
Mason Crosby,K,1,Brian S,2011,initial
Jimmy Graham,WR/TE,1,Brian S,2011,initial
Jonathan Stewart,RB,1,Brian S,2011,initial
Adrian Peterson,RB,62,Chris F,2011,initial
Greg Jennings,WR/TE,40,Chris F,2011,initial
Steelers D/ST,DST,4,Chris F,2011,initial
Desean Jackson,WR/TE,21,Chris F,2011,initial
Matt Schaub,QB,20,Chris F,2011,initial
Jason Witten,WR/TE,11,Chris F,2011,initial
Peyton Manning,QB,9,Chris F,2011,initial
Vernon Davis,WR/TE,9,Chris F,2011,initial
Jeremy Maclin,WR/TE,8,Chris F,2011,initial
BenJarvus Green-Ellis,RB,5,Chris F,2011,initial
Tim Hightower,RB,4,Chris F,2011,initial
Rob Bironas,K,4,Chris F,2011,initial
Joseph Addai,RB,3,Chris F,2011,initial
Jamaal Charles,RB,57,Craig B,2011,initial
Chargers D/ST,DST,1,Craig B,2011,initial
Miles Austin,WR/TE,25,Craig B,2011,initial
Jahvid Best,RB,23,Craig B,2011,initial
Steven Jackson,RB,21,Craig B,2011,initial
Mike Williams,WR/TE,13,Craig B,2011,initial
Matt Ryan,QB,12,Craig B,2011,initial
Deangelo Williams,RB,12,Craig B,2011,initial
Steve Johnson,WR/TE,8,Craig B,2011,initial
Mario Manningham,WR/TE,8,Craig B,2011,initial
Michael Thomas,WR/TE,7,Craig B,2011,initial
Cedric Benson,RB,3,Craig B,2011,initial
Stephen Gostkowski,K,2,Craig B,2011,initial
Arian Foster,RB,48,Jeff M,2011,initial
Chris Johnson,RB,48,Jeff M,2011,initial
Darren McFadden,RB,33,Jeff M,2011,initial
Vincent Jackson,WR/TE,25,Jeff M,2011,initial
Marques Colston,WR/TE,14,Jeff M,2011,initial
Dwayne Bowe,WR/TE,12,Jeff M,2011,initial
Ben Roethlisberger,QB,12,Jeff M,2011,initial
Packers D/ST,DST,2,Jeff M,2011,initial
Nate kaeding,K,2,Jeff M,2011,initial
Michael Bush,RB,1,Jeff M,2011,initial
Julio Jones,WR/TE,1,Jeff M,2011,initial
LaDainian Tomlinson,RB,1,Jeff M,2011,initial
Jay Cutler,QB,1,Jeff M,2011,initial
Michael Turner,RB,42,Nathan S,2011,initial
Drew Brees,QB,35,Nathan S,2011,initial
Roddy White,WR/TE,35,Nathan S,2011,initial
Reggie Wayne,WR/TE,30,Nathan S,2011,initial
Shonn Greene,RB,20,Nathan S,2011,initial
Bears D/ST,DST,2,Nathan S,2011,initial
Mark Ingram,RB,10,Nathan S,2011,initial
Chad Ochocinco,WR/TE,9,Nathan S,2011,initial
Santonio Holmes,WR/TE,5,Nathan S,2011,initial
Beanie Wells,RB,4,Nathan S,2011,initial
Joe Flacco,QB,4,Nathan S,2011,initial
Sebastian Janikowski,K,3,Nathan S,2011,initial
Owen Daniels,WR/TE,1,Nathan S,2011,initial
Patriots D/ST,DST,7,Steve C,2011,initial
Matt Forte,RB,37,Steve C,2011,initial
Philip Rivers,QB,31,Steve C,2011,initial
Calvin Johnson,WR/TE,30,Steve C,2011,initial
Rashard Mendenhall,RB,29,Steve C,2011,initial
Antonio Gates,WR/TE,15,Steve C,2011,initial
Ahmad Bradshaw,RB,14,Steve C,2011,initial
Felix Jones,RB,12,Steve C,2011,initial
Jermichael Finley,WR/TE,6,Steve C,2011,initial
Josh Freeman,QB,5,Steve C,2011,initial
Brandon Lloyd,WR/TE,5,Steve C,2011,initial
Josh Brown,K,5,Steve C,2011,initial
Ryan Mathews,RB,4,Steve C,2011,initial
Ray Rice,RB,60,Steve F,2011,initial
Andre Johnson,WR/TE,43,Steve F,2011,initial
LeSean McCoy,RB,40,Steve F,2011,initial
Larry Fitzgerald,WR/TE,25,Steve F,2011,initial
Jets D/ST,DST,2,Steve F,2011,initial
Tony Romo,QB,12,Steve F,2011,initial
Brandon Marshall,WR/TE,6,Steve F,2011,initial
Malcolm Floyd,WR/TE,2,Steve F,2011,initial
Matt Bryant,K,1,Steve F,2011,initial
Santana Moss,WR/TE,1,Steve F,2011,initial
Reggie Bush,RB,1,Steve F,2011,initial
Fred Jackson,RB,1,Steve F,2011,initial
Sam Bradford,QB,1,Steve F,2011,initial
Darren Sproles,RB,52,Andrew F,2011,redraft
Tom Brady,QB,30,Andrew F,2011,redraft
Brandon Marshall,WR/TE,24,Andrew F,2011,redraft
Wes Welker,WR/TE,16,Andrew F,2011,redraft
Ahmad Bradshaw,RB,12,Andrew F,2011,redraft
Jermichael Finley,RB,7,Andrew F,2011,redraft
Andre Johnson,WR/TE,6,Andrew F,2011,redraft
Billy Cundiff,K,6,Andrew F,2011,redraft
Percy Harvin,WR/TE,4,Andrew F,2011,redraft
Daniel Thomas,RB,4,Andrew F,2011,redraft
Bears D/ST,DST,3,Andrew F,2011,redraft
Dwayne Bowe,WR/TE,2,Andrew F,2011,redraft
Ryan Fitzpatrick,QB,1,Andrew F,2011,redraft
Chris Johnson,RB,80,Brian S,2011,redraft
Ben Roethlisberger,QB,21,Brian S,2011,redraft
Darren McFadden,RB,16,Brian S,2011,redraft
Hakeem Nicks,WR/TE,15,Brian S,2011,redraft
Michael Vick,QB,7,Brian S,2011,redraft
John kasay,K,6,Brian S,2011,redraft
Rob Gronkowski,WR/TE,4,Brian S,2011,redraft
Ben Tate,RB,3,Brian S,2011,redraft
Toby Gerhardt,RB,3,Brian S,2011,redraft
Demarco Murray,RB,1,Brian S,2011,redraft
Jimmy Graham,WR/TE,1,Brian S,2011,redraft
Reggie Wayne,WR/TE,1,Brian S,2011,redraft
Bengals D/ST,DST,1,Brian S,2011,redraft
Greg Jennings,WR/TE,50,Chris F,2011,redraft
Aaron Rodgers,QB,46,Chris F,2011,redraft
Ryan Mathews,RB,42,Chris F,2011,redraft
Mike Wallace,WR/TE,21,Chris F,2011,redraft
LeGarrette Blount,RB,8,Chris F,2011,redraft
Robbie Gould,K,6,Chris F,2011,redraft
DeAngelo Williams,RB,6,Chris F,2011,redraft
Steelers D/ST,DST,4,Chris F,2011,redraft
Tim Tebow,QB,5,Chris F,2011,redraft
Michael Crabtree,WR/TE,5,Chris F,2011,redraft
Aaron Hernandez,WR/TE,3,Chris F,2011,redraft
Antonio Brown,WR/TE,2,Chris F,2011,redraft
Pierre Thomas,RB,2,Chris F,2011,redraft
AJ Green,WR/TE,32,Craig B,2011,redraft
Michael Bush,RB,31,Craig B,2011,redraft
Frank Gore,RB,31,Craig B,2011,redraft
Rashard Mendenhall,RB,27,Craig B,2011,redraft
Dez Bryant,WR/TE,11,Craig B,2011,redraft
